name,type,cost,target,accessCost,selfTerminating,skillCheckMod,useAffects,description
Transmission,subject,1000,Data,0,False,0,"Radio and wifi signals","Ambient radio transmissions can be affected with this element, most often for the purpose of tampering with local comms. A hacker need not be jacked into a cyberspace node to target local radio transmissions, but the usual -2 check penalty for wireless hacking applies."
Turret,subject,1000,Device,0,False,0,"Automated weaponry","A security turret, emplaced gun, or other fixed automated weapon."
Activate,verb,1000,Device/Cyber,1,True,1,Turn on a device or piece of cyberware,"Turn a device or piece of cyberware on. You can't control it or direct its function, but if it'sprogrammed to do something when activated, such as grant a bonus action in exchange for System Strain, it does it for one round or one action. The spasmodic activation of cyber outside of the wearer's turn is unlikely to do anything useful, but it eats System Strain as usual if relevant."
Analyze,verb,500,Device/Data,0,True,1,Identify a target device or a file's topic,"Identify the specific functionality of a device or the general topics of local datafiles. Hackers get a general idea of what kind of device a cyberspace node represents, but Analyze is needed to give specific details of where a device is in reality."
Append,verb,500,Data,1,True,0,Add a new entry or data into a file,"Add a new entry or new data into a file. These new entries can't overwrite or erase any existing data, however."
Blind,verb,2000,Device/Cyber,1,False,0,Turn off sensory input to a device or cyber,"Deactivate a device's sensory input or make cyberware temporarily unable to get any input from anything but the wearer's nervous system. Cybereyes are blind, cameras sense nothing, and laser tripwires don't register the beam. Blind characters can't effectively attack at range, their movement rate is halved, and they suffer a -4 penalty to both AC and melee hit rolls."
Deactivate,verb,2000,Device/Cyber,1,True,1,Turn off the target for at least a round,"Turn a device or piece of cyberware off. Most devices and cyber can be rebooted by the network or the user, but it'll take a Main Action and a round to do so. If a network alert hasn't been issued, the network may not notice a deactivated device until someone spots the problem."
Decrypt,verb,1000,Data,1,True,0,Decrypt a file or radio transmission,"Decrypt a data file or radio transmission. This is often automatic for civilian encoding, though some files take Int/Program checks."
Defend,verb,1000,Device/Cyber,0,False,N/A,Shield a friendly device or cyber system,"A special Verb that can only be targeted at a friendly device or allied cyberware user within range, and costs no Access to use. While the program remains running, any hostile hacking attempts aimed at that device or any of the target's cyber systems must first beat the user in an opposed Int/Program skill check before they can attempt their hack. This Verb cannot negate programs that are already running on the target."
Delude,verb,5000,Device,1,False,-1,Spoof a device with false sensor input,"Spoof a device with false sensor input. A camera can be made to record nonexistent scenes, a minefield can be made to see phantom intrusions, a drone can feed the operator false visuals, and a turret can be made to mistake friends for foes. This Verb can't control a device directly, however, and must rely on feeding it false sensor data."
Erase,verb,500,Data,1,True,1,Erase a data file and corrupt backups,"Erase a data file. This Verb is extremely thorough, and any on-site backups can be expected to be nuked as well, either immediately or as soon as the automatic backup protocols expose them."
Frisk,verb,500,Cyber,0,True,1,Get a list of a target person's cyberware,"A Frisk Cyber program can give a list of all the cyber implanted in a specific human target within 30 meters, assuming the hacker's skill check beats the cyber user's security difficulty."
Ghost,verb,2000,Avatar,1,False,0,Turn 'invisible' so long as you only move,"Renders the targeted friendly avatar or Demon 'invisible' until they take some cyberspace action other than Move Nodes. Observers in a node get an automatic opposed Int/Program check to detect a ghosted avatar's presence, ending the program."
Glitch,verb,1000,Device/Cyber,0,False,2,Briefly deactivate a device or cyber,"Temporarily deactivate a device or cyberware system while the program remains running, for no more than one round per Program skill level plus two. A device can be targeted by a particular hacker's Glitch only once a day, successful or not."
Hijack,verb,5000,Device,1,False,-1,Take remote control of a device,"Seize control of a device, operating it as you wish within the limits of its functionality for as long as the program remains running. One command is free with the program's successful execution; others take a Main Action to issue."
Kill,verb,5000,Avatar,1,True,0,Inflict lethal feedback on a human avatar,"Through forced autonomic feedback and outof- bounds electrical current parameters, inflict lethal damage to an enemy avatar equal to 1d10 per Program skill level, to a minimum of 1d10 on a successful opposed Int/Program skill check. This damage has a Trauma Die of 1d8 and a x3 Trauma Rating. The victim's Trauma Target is not modified by armor, but it is by cyber or other modifiers. Unconscious hackers cannot resist this Verb and will be instantly killed by it. This Verb has no effect on Demons."
Lock,verb,1000,Device/Data,1,False,1,Lock an electronic lock or node barrier,"Lock a physical device that has some sort of electronic locking mechanism or a currently-unlocked cyberspace node barrier."
Paralyze,verb,2000,Avatar,1,False,-1,Paralyze an avatar's owner via network,"On a successful opposed Int/Program skill check against the target, render a Demon or avatar incapable of moving out of a node or using the Alert the Network or Send Message actions while the program is running. Other cyberspace actions can be taken normally. Human hackers are also physically paralyzed while the program runs, incapable of moving in meatspace until the connection is cut or the program ends."
Replace,verb,1000,Data,1,True,0,Change file data to something else,"Edit a data file, changing one piece of data in it into another of the hacker's choice. It cannot erase or add data outright, only alter it."
Sabotage,verb,2000,Device/Cyber,1,True,-1,Make the target damage itself,"Cause a physical device or cyberware system to damage itself through violent movement or self-destructive current surges. Devices smaller than a car will usually be disabled until repaired. Cyberware users do not take damage, but must make two Physical saves to resist the effect; if they fail both, the targeted system is disabled until the next maintenance, and if they fail one, it's frozen for one round. A device or cyber can be targeted by this Verb only once per scene."
Sense,verb,1000,Device/Cyber,0,False,0,Piggyback on a sensor feed or cyber,"Piggyback on the sensory feed of a device or piece of cyber. Anything the device senses or records, the hacker can sense. Swapping focus from cyberspace to reality is an On Turn action."
Siege,verb,2500,Device,1,False,-2,Cut off a device's node from the network,"If a Device is successfully Sieged, its network connections are severed for everyone but the hacker, blocking transit, data, or drone control. Defenders can run Terminate Program against it from any adjacent node."
Silence,verb,1000,Avatar,1,False,1,Lock out the Send Message action,"The affected avatar or Demon is unable to use the Send Message cyberspace action while this program runs. Alert the Network can still be done."
Stun,verb,1000,Avatar,0,True,1,Inflict non-lethal damage on an avatar,"Disrupt an avatar or Demon with sensory glitching, non-lethal current surges, and code corruption. Make an Int/Program skill check; beat an opposed Int/Program check for a human target, or a static 8+skill bonus target for a Demon. The target takes 1d10 non-lethal damage per Program level, to a minimum of 1d10."
Terminate,verb,500,Program,1,True,0,Forcibly end an unwanted program,"Prematurely end an undesired program. Any damage or changes the program already inflicted are unaffected."
Unlock,verb,500,Device/Data,1,True,1,Unlock an electric lock or node barrier,"Unlock a physical device with an electronic lock or a network's cyberspace node barrier."
