name,cost,damage,isNonLethal,shock.dmg,shock.ac,range.normal,range.max,ammo.type,ammo.burst,ammo.suppress,ammo.max,ammo.value,stat,secondStat,encumbrance,trauma.die,trauma.rating,description
Spear,50,1d6,False,2,13,10,20,none,False,False,0,0,str,dex,1,1d8,3,"Knives, clubs, swords, and other simple melee weaopns are available almost anywhere on the street. Particularly impoverished gangers sometimes fashion makeshift machetes and improvised shivs when better can’t be obtained. Such weapons are effectively free, but have a -1 penalty to hit and damage rolls due to their ungainly make."
Sword,200,1d8,False,2,13,0,0,none,False,False,0,0,str,dex,1,1d8,2,"Knives, clubs, swords, and other simple melee weapons are available almost anywhere on the street. Particularly impoverished gangers sometimes fashion makeshift machetes and improvised shivs when better can’t be obtained. Such weapons are effectively free, but have a -1 penalty to hit and damage rolls due to their ungainly make."
Big Sword,500,2d6,False,2,15,0,0,none,False,False,0,0,str,none,2,1d8,3,"Knives, clubs, swords, and other simple melee weapons are available almost anywhere on the street. Particularly impoverished gangers sometimes fashion makeshift machetes and improvised shivs when better can’t be obtained. Such weapons are effectively free, but have a -1 penalty to hit and damage rolls due to their ungainly make. This is a two-handed weapon, making it impossible to have a Readied item in the user's off-hand"
Big Club,100,1d10,True,2,18,0,0,none,False,False,0,0,str,none,2,1d8,3,"Knives, clubs, swords, and other simple melee weapons are available almost anywhere on the street. Particularly impoverished gangers sometimes fashion makeshift machetes and improvised shivs when better can’t be obtained. Such weapons are effectively free, but have a -1 penalty to hit and damage rolls due to their ungainly make. This is a two-handed weapon, making it impossible to have a Readied item in the user's off-hand"
Advanced Knife,200,1d6,False,2,15,10,20,none,False,False,0,0,str,dex,1,1d8,3,"Advanced weapons employ modern polymers, sophisticated metallurgy, fractal edges, electro-stun tech, and a small legion of marketers to sell products that are distinctly superior to the plain steel edges of a prior age. An advanced micro-edged butcher knife can go through bone like bamboo and keep an edge for weeks between sharpenings. The more martial offerings go to even greater lengths in their marketing, with some enterprising serial killers and gang enforcers inking exclusivity deals with particular knife manufacturers."
Advanced Sword,1000,1d10,False,3,15,0,0,none,False,False,0,0,str,dex,1,1d8,3,"Advanced weapons employ modern polymers, sophisticated metallurgy, fractal edges, electro-stun tech, and a small legion of marketers to sell products that are distinctly superior to the plain steel edges of a prior age. An advanced micro-edged butcher knife can go through bone like bamboo and keep an edge for weeks between sharpenings. The more martial offerings go to even greater lengths in their marketing, with some enterprising serial killers and gang enforcers inking exclusivity deals with particular knife manufacturers."
Advanced Big Sword,2500,2d8,False,4,15,0,0,none,False,False,0,0,str,none,2,1d8,3,"Advanced weapons employ modern polymers, sophisticated metallurgy, fractal edges, electro-stun tech, and a small legion of marketers to sell products that are distinctly superior to the plain steel edges of a prior age. An advanced micro-edged butcher knife can go through bone like bamboo and keep an edge for weeks between sharpenings. The more martial offerings go to even greater lengths in their marketing, with some enterprising serial killers and gang enforcers inking exclusivity deals with particular knife manufacturers. This is a two-handed weapon, making it impossible to have a Readied item in the user's off-hand"
Advanced Club,500,1d8,True,2,18,0,0,none,False,False,0,0,str,none,1,1d8,3,"Advanced weapons employ modern polymers, sophisticated metallurgy, fractal edges, electro-stun tech, and a small legion of marketers to sell products that are distinctly superior to the plain steel edges of a prior age. An advanced micro-edged butcher knife can go through bone like bamboo and keep an edge for weeks between sharpenings. The more martial offerings go to even greater lengths in their marketing, with some enterprising serial killers and gang enforcers inking exclusivity deals with particular knife manufacturers."
"Grenade,Flash",50,0,False,0,0,10,30,none,False,False,0,0,dex,none,1,None,None,"Grenades may be thrown at a point within range and always target AC 10. On a miss, the grenade bounces 1d10 meters in a random direction before exploding. Grenades have a 5-meter radius of effect. Flash grenades force victims without eye and ear protection to make a Physical save; on a failure, the victim loses their next Main Action and takes a -2 penalty to hit rolls and AC for the next 1d6 rounds. Flashbang effects don't stack, and a target who makes their save cannot be flashbanged again that same round."
"Grenade,Frag",100,2d6,False,0,0,10,30,none,False,False,0,0,dex,none,1,1d8,2,"Grenades may be thrown at a point within range and always target AC 10. On a miss, the grenade bounces 1d10 meters in a random direction before exploding. Grenades have a 5-meter radius of effect. Frag grenades inflict 2d6 damage on all victims in range, plus the chance for a Traumatic Hit. An Evasion save can halve a frag grenade's damage, and each point of melee AC the target has above 14 reduces the final damage total by one point, possibly down to zero."
"Grenade,Gas",50,1d10,True,0,0,10,30,none,False,False,0,0,dex,none,1,None,None,"Grenades may be thrown at a point within range and always target AC 10. On a miss, the grenade bounces 1d10 meters in a random direction before exploding. Grenades have a 5-meter radius of effect. Gas grenades create a 10-meter-diameter cloud of opaque, choking, irritating gas that disperses in one round. They inflict non-lethal damage, halved on a successful Physical save, and are useless against targets with breathing protection. They provide full concealment for those within the gas. Smoke grenades are harmless, but provide the same 10-meter dome of concealment where it's necessary. Gas and smoke aren't enough to defeat IR or augmented visuals."
"Grenade,Smoke",25,0,True,0,0,10,30,none,False,False,0,0,dex,none,1,None,None,"Grenades may be thrown at a point within range and always target AC 10. On a miss, the grenade bounces 1d10 meters in a random direction before exploding. Grenades have a 5-meter radius of effect. Gas grenades create a 10-meter-diameter cloud of opaque, choking, irritating gas that disperses in one round. They inflict non-lethal damage, halved on a successful Physical save, and are useless against targets with breathing protection. They provide full concealment for those within the gas. Smoke grenades are harmless, but provide the same 10-meter dome of concealment where it's necessary. Gas and smoke aren't enough to defeat IR or augmented visuals."
Anti-Materiel Rifle,8000,3d8,False,0,0,1000,2000,special,False,False,5,5,dex,none,3,1d12,3,"Anti-materiel rifles have encountered something of a renaissance with the ubiquity of armored drones and heavily cybered combatants. While not suitable for downing tanks or other heavily armored vehicles, their 20mm rounds are more than sufficient to punch through lighter armor plating, concrete walls, and full body conversion cyborgs. Use of a secure firing rest is recommended for best results. This weapon's Trauma Die can inflict Traumatic Hits on drones, vehicles, and other machines."
Grenade Launcher,3000,0,False,0,0,150,350,special,False,False,3,3,Dex,none,1,None,None,"Grenade launchers are accessories that are mounted on rifle-sized firearms, adding 1 Encumbrance to their bulk. These weapons can launch specially-designed grenades to the listed range, targeting them as if they were thrown normally. These special grenades cost and function the same as their regular equivalents but cannot be thrown by hand. When attacking, the user can choose whether to fire the grenade launcher or the weapon it's mounted to, but both cannot be fired in the same round.
Stand-alone grenade launcher models are available for vehicle or drone mounting, counting as 2 Encumbrance but otherwise having the same cost and statistics."
Demo Charge,1000,3d10,False,0,0,20,20,none,False,False,None,None,None,none,1,1d10,3,"Demo charges are shaped explosive charges usually meant to knock human-sized holes in anything short of fortified defensive walls. While ineffective as thrown weapons, when used as part of a trap or ambush they inflict their listed damage in a cone out to normal range, with an Evasion save for half damage. If applied carefully to a vehicle target, the following explosion will inevitably destroy it. Like frag grenades, use of demo charges tends to be very exciting to security forces and can provoke more heat than many operators like to draw. This weapon's Trauma Die can inflict Traumatic Hits on drones, vehicles, and other machines."
Heavy Machine Gun,10000,3d6,False,0,0,500,2000,special,False,True,10,10,dex,none,3,1d12,3,"Heavy machine guns are old tech, but reliable. Without a fixed firing position or vehicle mount, however, their recoil makes them almost uncontrollable. Due to the mass of lead involved in firing an HMG, each 'round' of its ammunition costs $100 and counts as a full item of encumbrance. This weapon's Trauma Die can inflict Traumatic Hits on drones, vehicles, and other machines."
Mortar,5000,3d6,False,0,0,1000,2000,special,False,False,1,1,wis,none,3,1d12,3,"Mortars are rare, but have their uses amid the tall buildings of an urban sprawl. They have a minimum range of 20 meters, but can lob indirect fire over buildings and obstacles. Mortars always target AC 20 at first, but each round of fire at the same target grants a +1 hit bonus if there's a forward spotter to adjust the aim. Mortar rounds act as frag grenades on the target point, but do 3d6 damage at base with a 10-meter radius. Armor doesn't lessen harm from mortar rounds.
Relatively simple as they are, a mortar round costs $50 and counts as one item of encumbrance."
Rocket Launcher,5000,3d10,False,0,0,2000,4000,special,False,False,1,1,dex,none,2,1d10,3,"Rocket launchers include a wide variety of single-shot disposable launchers. Their general imprecision forces a -4 hit penalty against human-sized targets, but they inflict frag grenade damage on any target within 5 meters of the rocket's landing point. Specialized anti-armor warheads lose this frag grenade bonus, but do double damage to vehicles or obstacles. Operators who intend to take down enemy vehicles favor them for their effectiveness in that role. This weapon's Trauma Die can inflict Traumatic Hits on drones, vehicles, and other machines."
"Land Mine, Anti-Pers.",150,1d8,False,0,0,0,0,none,False,False,None,None,None,none,1,1d10,3,"Land mines come in anti-personnel and anti-vehicle flavors. The first activates on any human-sized approach within 1 meter, inflicting damage in a 2-meter radius with an Evasion save for half. Anti-vehicle mines can only be activated by vehicular levels of ground pressure or vehicle-sized proximate metal masses, but do their damage in a 5-meter radius. Humans get an Evasion save for half damage in either case."
"Land Mine, Anti-Vehic.",1000,3d8,False,0,0,0,0,none,False,False,None,None,None,none,2,1d20,3,"Land mines come in anti-personnel and anti-vehicle flavors. The first activates on any human-sized approach within 1 meter, inflicting damage in a 2-meter radius with an Evasion save for half. Anti-vehicle mines can only be activated by vehicular levels of ground pressure or vehicle-sized proximate metal masses, but do their damage in a 5-meter radius. Humans get an Evasion save for half damage in either case. This weapon's Trauma Die can inflict Traumatic Hits on drones, vehicles, and other machines."
Viper Sting,25000,1d12,False,0,0,0,0,special,False,False,4,4,dex,none,0,1d10,3,"A tool of assassins, a Viper Sting is a fang, fingernail needle, palm injector, or more exotic implement for injecting an unsuspecting target with a drug of the user's choice. A Viper Sting can be loaded with up to four doses of pharmaceuticals, dispensed as the user wishes. If loaded with a toxin, it does 1d12 damage with a 1d10/x3 Trauma Die. If a tranquilizer is used, the damage is the same, but unconsciousness will result instead of death. A Viper Sting can only be effectively used as part of an Execution Attack, as an alert opponent can avoid it easily. This cyber inflicts a -2 penalty on any check to detect its presence."
Eye Mod/Flechette Launcher,20000,1d6,False,0,0,10,10,ammo,False,False,1,1,dex,none,0,1d8,2,"A holdout weapon designed for surprise short-ranged attacks, this eye has been loaded with a small explosive flechette. It has the statistics of a light pistol, has a range of 10 meters, and requires a Main Action to reload its single-round magazine. If used against a target in melee range who does not suspect its existence, a normal hit roll is made; on a miss, it does full normal damage anyway, and on a hit, the damage is doubled. It can be used for Execution Attacks."
Body Blades I,10000,1d8,False,2,15,0,0,none,False,False,None,None,dex,none,0,1d8,3,"Assorted retractable blades and spikes are implanted in the user's limbs. Their unarmed attacks do 1d8 damage, Shock of 2/15, Trauma Die 1d8/x3 and can be rolled with either Stab or Punch as the relevant combat skill. The Punch skill does not add damage to Body Blades attacks. When not in use, the blades are perceptible only to a medical scan."
Body Blades II,25000,2d6,False,4,15,0,0,none,False,False,None,None,dex,none,0,1d10,3,"As level one, but the user's body armament includes not only conventional blades, but assorted improvements such as monomolecular edges, cutting vibrations, or thermal augmentation. Their unarmed attacks do 2d6 damage with a Shock of 4/15, and a Trauma Die 1d10/x3. Anyone who sees or touches their arms can detect signs of the cyber, however."
